4540,全  球
6885,全  福
8068,全  達
2455,全  新
3015,全  漢
6228,全  譜
4148,全宇KY
6651,全宇昕
2509,全坤建
9937,全國油
6281,全國電
3564,其  陽
1258,其祥KY
6699,奇  邑
3356,奇  偶
3017,奇  鋐
2456,奇力新
3430,奇鈦科
5386,青  雲
8930,青  鋼
4908,前  鼎
9929,秋  雨
4555,氣  立
6731,啟  坤
6285,啟  碁
6512,啟發電
4747,強  生
2481,強  茂
1463,強  盛
5013,強  新
4560,強信KY
6247,淇譽電
6931,青  松
7516,清淨海
1736,喬  山
3057,喬  鼎
1540,喬  福
1593,祺  驊
1532,勤  美
4760,勤  凱
6516,勤  崴
8210,勤  誠
1437,勤益控
2385,群  光
7558,群  利
6664,群  翊
3481,群  創
6403,群  登
6911,群  運
6412,群  電
8299,群  聯
678,群益生
6024,群益期
6005,群益證
3629,群富通
6205,詮  欣
6147,頎  邦
3078,僑  威
4575,銓  寶
6210,慶  生
4534,慶  騰
9935,慶豐富
6545,擎  力
6122,擎  邦
8096,擎  亞
2062,橋  椿
8359,錢  櫃
3531,先  益
3362,先進光
1343,旭  東
4537,旭  東
3325,旭  品
6409,旭  隼
3390,旭  軟
4119,旭  富
4556,旭  然
6698,旭  暉
8421,旭  源
3541,西  柏
3625,西  勝
6243,迅  杰
6438,迅  得
6292,迅  德
2484,希  華
4175,杏  一
1788,杏  昌
4192,杏  國
1734,杏  輝
6737,秀  育
5348,系  通
6231,系  微
5309,系統電
6786,芯  測
6695,芯  鼎
6794,向  榮
3583,辛  耘
5356,協  益
3071,協  禧
4533,協易機
3332,幸  康
1108,幸  福
4198,欣  大
6160,欣  技
2901,欣  欣
5254,欣  訊
9931,欣  高
3703,欣  陸
8908,欣  雄
3264,欣  銓
3037,欣  興
6634,欣  耀
9918,欣天然
9906,欣巴巴
2949,欣新網
4924,欣厚KY
8917,欣泰油
6560,欣普羅
6257,矽  格
6725,矽  科
8016,矽  創
2363,矽  統
3511,矽  瑪
6415,矽力KY
